epoch_type,n_start,n_end,length
SHOCK_FREE,12248,12281,34
SHOCK_FREE,12284,12305,22
SHOCK_FREE,12320,12347,28
SHOCK_FREE,12372,12401,30
SHOCK_FREE,12404,12429,26
SHOCK_FREE,12470,12497,28
SHOCK_FREE,12500,12531,32
SHOCK_FREE,12534,12555,22
SHOCK_FREE,12558,12585,28
SHOCK_FREE,12600,12627,28
SHOCK_FREE,12644,12665,22
SHOCK_FREE,12680,12705,26
SHOCK_FREE,12710,12729,20
SHOCK_FREE,12774,12795,22
SHOCK_FREE,12798,12825,28
SHOCK_FREE,12878,12911,34
SHOCK_FREE,12932,12987,56
SHOCK_FREE,12998,13017,20
SHOCK_FREE,13082,13155,74
SHOCK_FREE,13158,13191,34
SHOCK_FREE,13232,13251,20
SHOCK_FREE,13262,13281,20
SHOCK_FREE,13304,13331,28
SHOCK_FREE,13334,13359,26
SHOCK_FREE,13394,13421,28
SHOCK_FREE,13460,13481,22
SHOCK_FREE,13632,13665,34
SHOCK_FREE,13668,13701,34
SHOCK_FREE,13704,13731,28
SHOCK_FREE,13748,13769,22
SHOCK_FREE,13772,13799,28
SHOCK_FREE,13862,13889,28
SHOCK_FREE,13892,13917,26
SHOCK_FREE,13944,13967,24
SHOCK_FREE,13988,14015,28
SHOCK_FREE,14040,14087,48
SHOCK_FREE,14142,14165,24
SHOCK_FREE,14172,14211,40
SHOCK_FREE,14258,14277,20
SHOCK_FREE,14318,14349,32
SHOCK_FREE,14394,14427,34
SHOCK_FREE,14430,14451,22
SHOCK_FREE,14528,14577,50
SHOCK_FREE,14588,14615,28
SHOCK_FREE,14618,14645,28
SHOCK_FREE,14660,14679,20
SHOCK_FREE,14720,14759,40
SHOCK_FREE,14762,14801,40
SHOCK_FREE,14810,14835,26
SHOCK_FREE,14900,14919,20
SHOCK_FREE,14942,14979,38
SHOCK_FREE,15024,15045,22
SHOCK_FREE,15050,15087,38
SHOCK_FREE,15110,15131,22
SHOCK_FREE,15180,15207,28
SHOCK_FREE,15252,15291,40
SHOCK_FREE,15312,15341,30
SHOCK_FREE,15348,15395,48
SHOCK_FREE,15404,15435,32
SHOCK_FREE,15438,15467,30
SHOCK_FREE,15482,15501,20
SHOCK_FREE,15612,15675,64
SHOCK_FREE,15722,15777,56
SHOCK_FREE,15782,15809,28
SHOCK_FREE,15812,15831,20
SHOCK_FREE,15872,15929,58
SHOCK_FREE,15950,15987,38
SHOCK_FREE,15990,16011,22
SHOCK_FREE,16044,16107,64
SHOCK_FREE,16172,16197,26
SHOCK_FREE,16214,16239,26
SHOCK_FREE,16352,16389,38
SHOCK_FREE,16410,16439,30
SHOCK_FREE,16592,16611,20
SHOCK_FREE,16614,16635,22
SHOCK_FREE,16638,16667,30
SHOCK_FREE,16670,16695,26
SHOCK_FREE,16734,16767,34
SHOCK_FREE,16838,16865,28
SHOCK_FREE,16874,16895,22
SHOCK_FREE,16910,16955,46
SHOCK_FREE,16970,16997,28
SHOCK_FREE,17024,17055,32
SHOCK_FREE,17072,17109,38
SHOCK_FREE,17220,17241,22
SHOCK_FREE,17288,17361,74
SHOCK_FREE,17372,17397,26
SHOCK_FREE,17400,17427,28
SHOCK_FREE,17474,17511,38
SHOCK_FREE,17558,17585,28
SHOCK_FREE,17672,17699,28
SHOCK_FREE,17778,17811,34
SHOCK_FREE,17822,17859,38
SHOCK_FREE,17894,17931,38
SHOCK_FREE,17952,17997,46
SHOCK_FREE,18024,18077,54
SHOCK_FREE,18114,18155,42
SHOCK_FREE,18168,18195,28
SHOCK_FREE,18210,18245,36
SHOCK_FREE,18248,18279,32
SHOCK_FREE,18300,18321,22
SHOCK_FREE,18324,18347,24
SHOCK_FREE,18350,18381,32
SHOCK_FREE,18438,18461,24
SHOCK_FREE,18468,18495,28
SHOCK_FREE,18534,18557,24
SHOCK_FREE,18590,18609,20
SHOCK_FREE,18674,18701,28
SHOCK_FREE,18738,18759,22
SHOCK_FREE,18780,18815,36
SHOCK_FREE,18902,18921,20
SHOCK_FREE,18924,18959,36
SHOCK_FREE,19050,19091,42
SHOCK_FREE,19154,19175,22
SHOCK_FREE,19200,19221,22
SHOCK_FREE,19242,19275,34
SHOCK_FREE,19368,19449,82
SHOCK_FREE,19452,19491,40
SHOCK_FREE,19562,19629,68
SHOCK_FREE,19694,19727,34
SHOCK_FREE,19730,19767,38
SHOCK_FREE,19788,19821,34
SHOCK_FREE,19848,19869,22
SHOCK_FREE,19910,19931,22
SHOCK_FREE,19968,19999,32
